,StartStationName,county,city,province
338,万宁牛漏,万宁市,儋州,海南
339,澄迈加乐,澄迈县,儋州,海南
340,什岭,,,
341,松桃汽车站,松桃苗族自治县,铜仁,贵州
342,普安汽车站,普安县,黔西,贵州
343,关岭汽车站,关岭布依族苗族自治县,安顺,贵州
344,铜仁汽车客运北站(川硐),,铜仁,贵州
345,仪陇超长客运站(金城),仪陇县,南充,四川
346,永川客运中心,永川区,重庆,重庆
347,渝北双凤桥汽车站,渝北区,重庆,重庆
348,仙桃汽车站,仙桃市,恩施,湖北
349,定日县客运站,定日县,日喀,西藏
350,吉隆县客运站,吉隆县,日喀,西藏
351,张家川汽车站,张家川回族自治县,天水,甘肃
352,东风汽车站,东风区,佳木,黑龙
353,孝义汽车站,孝义市,吕梁,山西
354,榆社汽车站,榆社县,晋中,山西
355,葫芦岛市汽车客运总站,,葫芦,辽宁
356,南通东站,,南通,江苏
357,常理工东湖,东湖区,南昌,江西
358,苍南西站,苍南县,温州,浙江
359,泉州汽车北站(原高铁站),,泉州,福建
360,黎川客运中心,黎川县,抚州,江西
361,马连庄,,,
362,枣庄汽车总站,,枣庄,山东
363,长沙市区,长沙县,长沙,湖南
364,龙山汽车站,龙山县,湘西,湖南
365,梅州大埔汽车客运站,大埔县,梅州,广东
366,郁南飞凤汽车客运站,郁南县,云浮,广东
367,福山补票点一,福山区,烟台,山东
368,文昌东郊,文昌市,儋州,海南
369,琼海嘉积站,琼海市,儋州,海南
370,内江汽车站(卷子坳车站),,内江,四川
371,石棉汽车站,石棉县,雅安,四川
372,贵阳龙洞堡汽车客运站,,贵阳,贵州
373,夹江客运中心,夹江县,乐山,四川
374,梧州金晖站,,梧州,广西
375,罗定泷州客运站,罗定市,云浮,广东
376,韩城客运总站,韩城市,渭南,陕西
377,克拉玛依客运站,克拉玛依区,克拉,新疆
378,巴楚县客运站,巴楚县,喀什,新疆
379,和硕客运站,和硕县,巴音,新疆
380,武进汽车站,武进区,常州,江苏
381,遂昌客运中心,遂昌县,丽水,浙江
382,安溪西坪,安溪县,泉州,福建
383,铜矿车站,,,
384,鄱阳客运站,鄱阳县,上饶,江西
385,唐河汽车站,唐河县,南阳,河南
386,黎托站,,,
387,常德北部区域,,常德,湖南
388,清远市城北汽车客运站,城北区,西宁,青海
389,紫金汽车客运站,紫金县,河源,广东
390,藤县汽车客运服务站,藤县,梧州,广西
391,临高多文,临高县,儋州,海南
392,清水湾山海间,清水县,天水,甘肃
393,海口下昌,,海口,海南
394,泸县客运中心站,泸县,泸州,四川
395,安宁客运站,安宁区,兰州,甘肃
396,盐边客运站,盐边县,攀枝,四川
397,理工大(北门车站服务点),,,
398,唐山海港汽车客运站,山海关区,秦皇,河北
399,华容汽车中心站,华容县,岳阳,湖南
400,慈利西站,慈利县,张家,湖南
401,西咸综合客运枢纽站,,,
402,延长汽车站,延长县,延安,陕西
403,延安南站,,延安,陕西
404,宝昌客运站,,,
405,铁岭,铁岭县,铁岭,辽宁
406,大安市公路客运总站,大安区,自贡,四川
407,长白县客运站,长白朝鲜族自治县,白山,吉林
408,伊春市公路客运总站,,伊春,黑龙
409,千岛湖客运中心站,,,
410,大田,大田县,三明,福建
411,学院路口,,,
412,市委党校学员公寓,,,
413,沾化站,沾化区,滨州,山东
414,郸城汽车站(交通路),郸城县,周口,河南
415,应城,应城市,孝感,湖北
416,东莞市凤岗汽车客运站,东莞市,东莞,广东
417,陆河汽车客运站,陆河县,汕尾,广东
418,潮汕机场客运站,,,
419,玉林市客运中心,,玉林,广西
420,平果汽车客运站,平果市,百色,广西
421,定安中瑞,定安县,儋州,海南
422,三亚港门,,三亚,海南
423,兰坪客运站,兰坪白族普米族自治县,怒江,云南
424,杨春湖客运换乘中心,,,
425,桂林汽车客运北站,,桂林,广西
426,礼县汽车站,礼县,陇南,甘肃
427,宜章县汽车站,宜章县,郴州,湖南
428,松江长途汽车客运站,松江区,上海,上海
429,洋县汽车站,洋县,汉中,陕西
430,巴青县客运站,巴青县,那曲,西藏
